x,y,z
4.71,6.64,0.89
4.76,6.61,0.95
4.81,6.58,1.01
4.87,6.54,1.06
4.93,6.50,1.12
4.99,6.46,1.17
5.04,6.41,1.23
5.10,6.37,1.28
5.16,6.33,1.34
5.22,6.29,1.39
5.27,6.25,1.45
5.32,6.21,1.50
5.37,6.17,1.56
5.41,6.14,1.61
5.45,6.10,1.67
5.49,6.07,1.72
5.52,6.04,1.77
5.55,6.02,1.82
5.58,6.00,1.86
5.61,5.97,1.91
5.63,5.96,1.95
5.65,5.94,1.98
5.67,5.92,2.02
5.69,5.91,2.05
5.70,5.89,2.07
5.72,5.88,2.09
5.74,5.87,2.11
5.74,5.84,2.13
5.80,5.83,2.13
5.78,5.84,2.13
5.78,5.81,2.14
5.80,5.82,2.12
5.81,5.81,2.11
5.82,5.81,2.09
5.84,5.80,2.07
5.85,5.80,2.05
5.86,5.80,2.02
5.87,5.79,1.99
5.87,5.79,1.95
5.88,5.79,1.91
5.89,5.79,1.87
5.89,5.80,1.82
5.89,5.80,1.77
5.89,5.81,1.72
5.89,5.82,1.66
5.88,5.83,1.61
5.88,5.84,1.55
5.86,5.85,1.49
5.85,5.87,1.43
5.83,5.89,1.37
5.81,5.91,1.31
5.79,5.94,1.24
5.81,5.93,1.19
5.74,5.99,1.12
5.71,6.01,1.06
5.67,6.04,1.00
5.64,6.07,0.94
5.61,6.09,0.88
5.58,6.12,0.82
5.59,6.12,0.77
5.59,6.12,0.79
5.63,6.09,0.82
5.67,6.06,0.85
5.70,6.03,0.87
5.74,6.01,0.90
5.76,6.00,0.93
5.82,5.95,0.96
5.86,5.92,0.98
5.90,5.90,1.01
5.94,5.87,1.04
5.97,5.84,1.06
6.00,5.82,1.09
6.04,5.79,1.11
6.07,5.77,1.14
6.10,5.75,1.16
6.13,5.72,1.18
6.16,5.70,1.21
6.18,5.68,1.23
6.21,5.66,1.25
6.23,5.65,1.26
6.26,5.63,1.28
6.28,5.62,1.30
6.30,5.60,1.31
6.32,5.58,1.32
6.34,5.57,1.33
6.36,5.56,1.34
6.37,5.55,1.35
6.39,5.53,1.35
6.40,5.52,1.35
6.42,5.51,1.35
6.43,5.51,1.35
6.44,5.50,1.35
6.46,5.49,1.35
6.47,5.49,1.34
6.48,5.48,1.33
6.49,5.47,1.32
4.49,5.76,0.97
4.50,5.76,0.95
4.51,5.75,0.93
4.52,5.75,0.91
4.53,5.74,0.88
4.54,5.73,0.85
4.55,5.72,0.82
4.56,5.72,0.79
4.58,5.71,0.75
4.59,5.70,0.71
4.61,5.69,0.67
4.63,5.69,0.63
4.64,5.68,0.59
4.66,5.67,0.54
4.67,5.66,0.50
4.69,5.65,0.45
4.70,5.65,0.40
4.72,5.64,0.35
4.73,5.63,0.30
4.74,5.63,0.25
4.76,5.62,0.20
4.78,5.61,0.14
4.79,5.61,0.09
4.81,5.60,0.04
4.82,5.59,0.06
4.83,5.58,0.09
4.85,5.58,0.12
4.86,5.57,0.14
4.88,5.56,0.17
4.90,5.55,0.19
4.91,5.54,0.22
4.93,5.54,0.24
4.94,5.53,0.27
4.96,5.52,0.29
4.97,5.51,0.31
4.99,5.51,0.34
5.00,5.50,0.36
5.02,5.49,0.38
5.03,5.48,0.40
5.05,5.48,0.41
5.06,5.47,0.43
5.08,5.46,0.45
5.09,5.45,0.46
5.11,5.45,0.48
5.12,5.44,0.49
5.14,5.43,0.50
5.15,5.42,0.51
5.17,5.42,0.52
5.18,5.41,0.53
5.20,5.40,0.53
5.21,5.39,0.54
5.23,5.39,0.54
5.24,5.38,0.54
5.26,5.37,0.54
5.27,5.36,0.55
5.29,5.36,0.54
5.30,5.35,0.54
5.32,5.34,0.53
5.33,5.33,0.53
5.35,5.33,0.52
5.36,5.32,0.51
5.38,5.31,0.50
5.39,5.30,0.49
5.41,5.30,0.48
5.42,5.29,0.46
5.44,5.28,0.45
5.45,5.27,0.43
5.47,5.26,0.42
5.48,5.26,0.40
5.50,5.25,0.38
5.51,5.24,0.36
5.53,5.24,0.34
5.54,5.23,0.32
5.56,5.22,0.29
5.57,5.21,0.27
5.59,5.21,0.25
5.60,5.20,0.22
5.62,5.19,0.20
5.63,5.18,0.17
5.65,5.18,0.15
5.66,5.17,0.12
5.68,5.16,0.09
5.69,5.15,0.07
5.71,5.15,0.04
5.73,5.14,0.06
5.74,5.13,0.07
5.75,5.13,0.08
5.77,5.12,0.09
5.79,5.11,0.11
5.80,5.10,0.12
5.82,5.09,0.13
5.83,5.09,0.14
5.85,5.08,0.16
5.86,5.07,0.17
5.88,5.06,0.18
5.89,5.06,0.19
5.91,5.05,0.20
5.92,5.04,0.21
5.94,5.03,0.22
5.95,5.03,0.23
5.97,5.02,0.24
6.00,5.03,0.24
6.00,5.00,0.25
6.01,5.00,0.26
6.03,4.99,0.27
6.04,4.98,0.27
6.06,4.97,0.28
6.07,4.97,0.28
6.09,4.96,0.29
6.10,4.95,0.29
6.12,4.94,0.29
6.13,4.94,0.29
6.15,4.93,0.29
6.16,4.92,0.30
6.18,4.91,0.29
6.19,4.91,0.29
6.21,4.90,0.29
6.22,4.89,0.29
6.24,4.88,0.29
6.25,4.88,0.28
6.27,4.87,0.28
6.28,4.86,0.27
6.30,4.85,0.27
6.31,4.85,0.26
6.33,4.84,0.26
6.34,4.83,0.25
6.36,4.82,0.24
6.37,4.82,0.23
6.39,4.81,0.22
6.40,4.80,0.21
6.42,4.80,0.20
6.43,4.79,0.19
6.45,4.78,0.18
6.46,4.77,0.17
6.48,4.77,0.16
6.49,4.76,0.15
6.51,4.75,0.13
6.52,4.74,0.12
6.54,4.74,0.11
6.55,4.73,0.10
6.57,4.72,0.08
6.58,4.71,0.07
6.60,4.71,0.06
6.61,4.70,0.04
6.63,4.69,0.05
6.64,4.68,0.05
6.66,4.68,0.06
6.67,4.67,0.06
6.68,4.66,0.07
6.70,4.65,0.07
6.72,4.65,0.08
6.73,4.64,0.08
6.75,4.63,0.09
6.76,4.62,0.09
6.77,4.62,0.10
6.79,4.61,0.10
6.81,4.60,0.11
6.82,4.59,0.11
6.84,4.59,0.12
6.85,4.58,0.12
6.87,4.57,0.12
6.88,4.56,0.13
6.90,4.56,0.13
6.91,4.55,0.13
6.93,4.54,0.13
6.94,4.53,0.14
6.96,4.53,0.14
6.97,4.52,0.14
6.99,4.51,0.14
7.00,4.50,0.14
7.02,4.50,0.14
7.03,4.49,0.15
7.05,4.48,0.14
7.06,4.47,0.15
7.08,4.47,0.15
7.09,4.46,0.15
7.11,4.45,0.14
7.12,4.44,0.14
7.14,4.44,0.14
7.15,4.43,0.14
7.17,4.42,0.14
7.18,4.41,0.14
7.20,4.41,0.14
7.21,4.40,0.13
7.23,4.39,0.13
7.24,4.39,0.13
7.26,4.38,0.12
7.27,4.37,0.12
7.29,4.36,0.12
7.30,4.36,0.11
7.32,4.35,0.11
7.33,4.34,0.10
7.35,4.33,0.10
7.36,4.32,0.10
7.38,4.32,0.09
7.40,4.31,0.09
7.41,4.30,0.08
7.42,4.30,0.08
7.44,4.29,0.07
7.45,4.28,0.07
7.47,4.27,0.06
7.48,4.27,0.06
7.50,4.26,0.05
7.51,4.25,0.05
7.53,4.24,0.05
7.54,4.24,0.06
7.56,4.23,0.06
7.58,4.22,0.07
7.59,4.21,0.07
7.61,4.21,0.08
7.62,4.20,0.08
7.64,4.19,0.09
7.65,4.18,0.09
7.67,4.18,0.10
7.68,4.17,0.10
7.70,4.16,0.11
7.71,4.15,0.11
7.73,4.15,0.11
7.74,4.14,0.12
7.76,4.13,0.12
7.77,4.12,0.13
7.79,4.12,0.13
7.80,4.11,0.13
7.82,4.10,0.13
7.83,4.09,0.14
7.85,4.09,0.14
7.86,4.08,0.14
7.88,4.07,0.14
7.89,4.07,0.15
7.91,4.06,0.15
7.92,4.05,0.15
7.94,4.04,0.15
7.95,4.03,0.15
7.97,4.03,0.15
7.98,4.02,0.15
8.00,4.01,0.15
8.01,4.01,0.15
8.03,4.00,0.15
8.04,3.99,0.15
8.06,3.98,0.14
8.07,3.97,0.14
8.09,3.97,0.14
8.10,3.96,0.14
8.12,3.95,0.13
8.13,3.95,0.13
8.15,3.94,0.13
8.16,3.93,0.13
8.18,3.92,0.12
8.19,3.92,0.12
8.21,3.91,0.12
8.22,3.90,0.11
8.24,3.89,0.11
8.25,3.89,0.10
8.27,3.88,0.10
8.28,3.87,0.09
8.30,3.86,0.09
8.31,3.86,0.08
8.33,3.85,0.08
8.34,3.84,0.07
8.36,3.83,0.07
8.37,3.83,0.06
8.39,3.82,0.06
8.41,3.81,0.05
8.42,3.80,0.05
8.44,3.80,0.05
8.45,3.79,0.06
8.47,3.78,0.06
8.48,3.77,0.07
8.50,3.77,0.07
8.51,3.76,0.08
8.53,3.75,0.08
8.54,3.74,0.09
8.56,3.74,0.09
8.57,3.73,0.10
8.59,3.72,0.10
8.60,3.71,0.11
8.61,3.71,0.11
8.63,3.70,0.12
8.65,3.69,0.12
8.66,3.68,0.12
8.68,3.68,0.13
8.66,3.66,0.12
8.68,3.65,0.13
8.72,3.66,0.14
8.74,3.65,0.14
8.75,3.64,0.14
8.77,3.63,0.14
8.78,3.63,0.14
8.80,3.62,0.15
8.81,3.61,0.15
8.83,3.60,0.15
8.84,3.60,0.15
8.86,3.59,0.15
8.87,3.58,0.15
8.89,3.57,0.15
8.90,3.57,0.15
8.92,3.56,0.15
8.93,3.55,0.15
8.95,3.54,0.15
8.96,3.54,0.14
8.98,3.53,0.14
8.99,3.52,0.14
9.01,3.51,0.14
9.02,3.51,0.14
9.04,3.50,0.13
9.05,3.49,0.13
9.07,3.48,0.13
9.08,3.48,0.12
9.10,3.47,0.12
9.11,3.46,0.12
9.13,3.45,0.11
9.14,3.45,0.11
9.16,3.44,0.11
9.17,3.43,0.10
9.19,3.42,0.10
9.20,3.42,0.09
9.22,3.41,0.09
9.23,3.40,0.08
9.25,3.39,0.08
9.26,3.39,0.07
9.28,3.38,0.07
9.29,3.37,0.06
9.31,3.36,0.06
9.32,3.36,0.05
9.34,3.35,0.05
9.35,3.34,0.06
9.37,3.33,0.06
9.38,3.33,0.07
9.40,3.32,0.07
9.41,3.31,0.08
9.43,3.30,0.08
9.44,3.30,0.09
9.46,3.29,0.10
9.47,3.28,0.10
9.49,3.27,0.10
9.50,3.27,0.11
9.52,3.26,0.11
9.53,3.25,0.12
9.55,3.25,0.12
9.56,3.24,0.12
9.58,3.23,0.13
9.59,3.22,0.13
9.61,3.22,0.13
9.62,3.21,0.14
9.64,3.20,0.14
9.65,3.19,0.14
9.67,3.19,0.14
9.68,3.18,0.15
9.70,3.17,0.15
9.71,3.16,0.15
9.73,3.16,0.15
9.74,3.15,0.15
9.76,3.14,0.15
9.77,3.13,0.15
9.79,3.13,0.15
9.80,3.12,0.15
9.82,3.11,0.15
9.83,3.10,0.15
9.85,3.10,0.15
9.86,3.09,0.15
9.88,3.08,0.14
9.89,3.07,0.14
9.91,3.07,0.14
9.92,3.06,0.14
9.94,3.05,0.13
9.95,3.04,0.13
9.97,3.04,0.13
9.98,3.03,0.12
10.00,3.02,0.12
10.02,3.01,0.12
10.03,3.01,0.11
10.04,3.00,0.11
10.06,2.99,0.10
10.07,2.98,0.10
10.09,2.98,0.10
10.10,2.97,0.09
10.12,2.96,0.09
10.13,2.96,0.08
10.15,2.95,0.08
10.16,2.94,0.07
10.18,2.93,0.07
10.20,2.92,0.06
10.21,2.92,0.05
10.23,2.91,0.05
10.24,2.90,0.06
10.26,2.89,0.06
10.27,2.89,0.06
10.29,2.88,0.07
10.30,2.87,0.08
10.31,2.87,0.08
10.33,2.86,0.09
10.34,2.85,0.09
10.36,2.84,0.09
10.37,2.84,0.10
10.39,2.83,0.10
10.40,2.82,0.11
10.42,2.81,0.11
10.43,2.81,0.12
10.45,2.80,0.12
10.46,2.79,0.12
10.48,2.78,0.13
10.50,2.77,0.13
10.51,2.77,0.13
10.53,2.76,0.14
10.54,2.75,0.14
10.56,2.74,0.14
10.57,2.74,0.14
10.59,2.73,0.15
10.60,2.72,0.15
10.62,2.72,0.15
10.63,2.71,0.15
10.65,2.70,0.15
10.66,2.69,0.15
10.68,2.69,0.15
10.69,2.68,0.15
10.71,2.67,0.15
10.72,2.66,0.15
10.74,2.66,0.15
10.75,2.65,0.15
10.77,2.64,0.14
10.78,2.63,0.14
10.80,2.63,0.14
10.81,2.62,0.14
10.83,2.61,0.14
10.84,2.60,0.13
10.86,2.59,0.13
10.87,2.59,0.13
10.89,2.58,0.12
10.90,2.57,0.12
10.92,2.57,0.12
10.93,2.56,0.11
10.95,2.55,0.11
10.96,2.54,0.10
10.98,2.54,0.10
10.99,2.53,0.10
11.01,2.52,0.09
11.02,2.51,0.09
11.03,2.51,0.08
11.04,2.50,0.08
11.06,2.49,0.07
11.07,2.49,0.07
11.08,2.48,0.06
11.09,2.47,0.06
11.10,2.46,0.05
11.11,2.45,0.06
11.12,2.45,0.06
11.13,2.44,0.07
11.14,2.43,0.07
11.15,2.43,0.08
11.16,2.42,0.08
11.16,2.41,0.09
11.17,2.40,0.09
11.18,2.40,0.10
11.19,2.39,0.10
11.19,2.38,0.11
11.20,2.38,0.11
11.21,2.37,0.12
11.22,2.36,0.12
11.22,2.36,0.12
11.23,2.35,0.13
11.24,2.34,0.13
11.25,2.34,0.14
11.25,2.33,0.14
11.26,2.32,0.14
11.27,2.32,0.14
11.28,2.31,0.15
11.29,2.30,0.15
11.29,2.30,0.15
11.30,2.29,0.15
11.31,2.28,0.15
11.32,2.28,0.15
11.33,2.27,0.16
11.34,2.26,0.16
11.34,2.26,0.16
11.35,2.25,0.16
11.36,2.25,0.16
11.37,2.24,0.16
11.38,2.23,0.16
11.39,2.23,0.15
11.40,2.22,0.15
11.41,2.21,0.15
11.42,2.21,0.15
11.43,2.20,0.15
11.43,2.19,0.15
11.44,2.19,0.14
11.45,2.18,0.14
11.46,2.18,0.14
11.46,2.19,0.13
11.48,2.16,0.13
11.48,2.18,0.12
11.50,2.15,0.12
11.51,2.15,0.12
11.52,2.14,0.12
11.53,2.13,0.11
11.54,2.13,0.11
11.55,2.12,0.11
11.56,2.12,0.10
11.57,2.11,0.10
11.58,2.10,0.09
11.59,2.10,0.09
11.60,2.09,0.08
11.61,2.09,0.08
11.62,2.08,0.07
